"Datum","Feiertag","Typ"
"2015-01-01","Neujahr","1"
"2015-01-02","Berchtoldstag","2"
"2015-04-03","Karfreitag","1"
"2015-04-05","Ostern","2"
"2015-04-06","Ostermontag","1"
"2015-04-13","Sechselaeuten","2"
"2015-05-01","Tag der Arbeit","1"
"2015-05-14","Auffahrt","1"
"2015-05-24","Pfingsten","2"
"2015-05-25","Pfingstmontag","1"
"2015-08-01","Nationalfeiertag","1"
"2015-09-14","Knabenschiessen","2"
"2015-12-25","Weihnachten","1"
"2015-12-26","Stefanstag","1"
"2016-01-01","Neujahr","1"
"2016-01-02","Berchtoldstag","2"
"2016-03-25","Karfreitag","1"
"2016-03-27","Ostern","2"
"2016-03-28","Ostermontag","1"
"2016-04-18","Sechselaeuten","2"
"2016-05-01","Tag der Arbeit","1"
"2016-05-05","Auffahrt","1"
"2016-05-15","Pfingsten","2"
"2016-05-16","Pfingstmontag","1"
"2016-08-01","Nationalfeiertag","1"
"2016-09-12","Knabenschiessen","2"
"2016-12-25","Weihnachten","1"
"2016-12-26","Stefanstag","1"
"2017-01-01","Neujahr","1"
"2017-01-02","Berchtoldstag","2"
"2017-04-14","Karfreitag","1"
"2017-04-16","Ostern","2"
"2017-04-17","Ostermontag","1"
"2017-04-24","Sechselaeuten","2"
"2017-05-01","Tag der Arbeit","1"
"2017-05-25","Auffahrt","1"
"2017-06-04","Pfingsten","2"
"2017-06-05","Pfingstmontag","1"
"2017-08-01","Nationalfeiertag","1"
"2017-09-11","Knabenschiessen","2"
"2017-12-25","Weihnachten","1"
"2017-12-26","Stefanstag","1"
"2018-01-01","Neujahr","1"
"2018-01-02","Berchtoldstag","2"
"2018-03-30","Karfreitag","1"
"2018-04-01","Ostern","2"
"2018-04-02","Ostermontag","1"
"2018-04-16","Sechselaeuten","2"
"2018-05-01","Tag der Arbeit","1"
"2018-05-10","Auffahrt","1"
"2018-05-20","Pfingsten","2"
"2018-05-21","Pfingstmontag","1"
"2018-08-01","Nationalfeiertag","1"
"2018-09-10","Knabenschiessen","2"
"2018-12-25","Weihnachten","1"
"2018-12-26","Stefanstag","1"
"2019-01-01","Neujahr","1"
"2019-01-02","Berchtoldstag","2"
"2019-04-19","Karfreitag","1"
"2019-04-21","Ostern","2"
"2019-04-22","Ostermontag","1"
"2019-04-08","Sechselaeuten","2"
"2019-05-01","Tag der Arbeit","1"
"2019-05-30","Auffahrt","1"
"2019-06-09","Pfingsten","2"
"2019-06-10","Pfingstmontag","1"
"2019-08-01","Nationalfeiertag","1"
"2019-09-09","Knabenschiessen","2"
"2019-12-25","Weihnachten","1"
"2019-12-26","Stefanstag","1"
"2020-01-01","Neujahr","1"
"2020-01-02","Berchtoldstag","2"
"2020-04-10","Karfreitag","1"
"2020-04-12","Ostern","2"
"2020-04-13","Ostermontag","1"
"2020-04-20","Sechselaeuten","2"
"2020-05-01","Tag der Arbeit","1"
"2020-05-21","Auffahrt","1"
"2020-05-31","Pfingsten","2"
"2020-06-01","Pfingstmontag","1"
"2020-08-01","Nationalfeiertag","1"
"2020-12-25","Weihnachten","1"
"2020-12-26","Stefanstag","1"
"2021-01-01","Neujahr","1"
"2021-01-02","Berchtoldstag","2"
"2021-04-02","Karfreitag","1"
"2021-04-04","Ostern","2"
"2021-04-05","Ostermontag","1"
"2021-04-19","Sechselaeuten","2"
"2021-05-01","Tag der Arbeit","1"
"2021-05-13","Auffahrt","1"
"2021-05-23","Pfingsten","2"
"2021-05-24","Pfingstmontag","1"
"2021-08-01","Nationalfeiertag","1"
"2021-09-13","Knabenschiessen","2"
"2021-12-25","Weihnachten","1"
"2021-12-26","Stefanstag","1"
"2022-01-01","Neujahr","1"
"2022-01-02","Berchtoldstag","2"
"2022-04-15","Karfreitag","1"
"2022-04-17","Ostern","2"
"2022-04-18","Ostermontag","1"
"2022-04-25","Sechselaeuten","2"
"2022-05-01","Tag der Arbeit","1"
"2022-05-26","Auffahrt","1"
"2022-06-05","Pfingsten","2"
"2022-06-06","Pfingstmontag","1"
"2022-08-01","Nationalfeiertag","1"
"2022-09-12","Knabenschiessen","2"
"2022-12-25","Weihnachten","1"
"2022-12-26","Stefanstag","1"
"2023-01-01","Neujahr","1"
"2023-01-02","Berchtoldstag","2"
"2023-04-07","Karfreitag","1"
"2023-04-09","Ostern","2"
"2023-04-10","Ostermontag","1"
"2023-04-17","Sechselaeuten","2"
"2023-05-01","Tag der Arbeit","1"
"2023-05-18","Auffahrt","1"
"2023-05-28","Pfingsten","2"
"2023-05-29","Pfingstmontag","1"
"2023-08-01","Nationalfeiertag","1"
"2023-09-11","Knabenschiessen","2"
"2023-12-25","Weihnachten","1"
"2023-12-26","Stefanstag","1"
"2024-01-01","Neujahr","1"
"2024-01-02","Berchtoldstag","2"
"2024-03-29","Karfreitag","1"
"2024-03-31","Ostern","2"
"2024-04-01","Ostermontag","1"
"2024-04-15","Sechselaeuten","2"
"2024-05-01","Tag der Arbeit","1"
"2024-05-09","Auffahrt","1"
"2024-05-19","Pfingsten","2"
"2024-05-20","Pfingstmontag","1"
"2024-08-01","Nationalfeiertag","1"
"2024-09-09","Knabenschiessen","2"
"2024-12-25","Weihnachten","1"
"2024-12-26","Stefanstag","1"
