"Datum","Ferien","Start/Stop"
"2015-01-01","Weihnachtsferien","Start"
"2015-01-04","Weihnachtsferien","Stop"
"2015-02-08","Sportferien","Start"
"2015-02-22","Sportferien","Stop"
"2015-04-19","Fruehlingsferien","Start"
"2015-05-03","Fruehlingsferien","Stop"
"2015-07-12","Sommerferien","Start"
"2015-08-16","Sommerferien","Stop"
"2015-10-04","Herbstferien","Start"
"2015-10-18","Herbstferien","Stop"
"2015-12-20","Weihnachtsferien","Start"
"2016-01-03","Weihnachtsferien","Stop"
"2016-02-14","Sportferien","Start"
"2016-02-28","Sportferien","Stop"
"2016-04-24","Fruehlingsferien","Start"
"2016-05-08","Fruehlingsferien","Stop"
"2016-07-17","Sommerferien","Start"
"2016-08-21","Sommerferien","Stop"
"2016-10-09","Herbstferien","Start"
"2016-10-23","Herbstferien","Stop"
"2016-12-25","Weihnachtsferien","Start"
"2017-01-08","Weihnachtsferien","Stop"
"2017-04-16","Fruehlingsferien","Start"
"2017-04-30","Fruehlingsferien","Stop"
"2017-07-16","Sommerferien","Start"
"2017-08-20","Sommerferien","Stop"
"2017-10-08","Herbstferien","Start"
"2017-10-22","Herbstferien","Stop"
"2017-12-24","Weihnachtsferien","Start"
"2018-01-07","Weihnachtsferien","Stop"
"2018-04-22","Fruehlingsferien","Start"
"2018-05-06","Fruehlingsferien","Stop"
"2018-07-15","Sommerferien","Start"
"2018-08-19","Sommerferien","Stop"
"2018-10-07","Herbstferien","Start"
"2018-10-21","Herbstferien","Stop"
"2018-12-23","Weihnachtsferien","Start"
"2019-01-06","Weihnachtsferien","Stop"
"2019-04-21","Fruehlingsferien","Start"
"2019-05-05","Fruehlingsferien","Stop"
"2019-07-14","Sommerferien","Start"
"2019-08-18","Sommerferien","Stop"
"2019-10-06","Herbstferien","Start"
"2019-10-20","Herbstferien","Stop"
"2019-12-22","Weihnachtsferien","Start"
"2020-01-05","Weihnachtsferien","Stop"
"2020-04-12","Fruehlingsferien","Start"
"2020-04-26","Fruehlingsferien","Stop"
"2020-07-12","Sommerferien","Start"
"2020-08-16","Sommerferien","Stop"
"2020-10-04","Herbstferien","Start"
"2020-10-18","Herbstferien","Stop"
"2020-12-20","Weihnachtsferien","Start"
"2021-01-03","Weihnachtsferien","Stop"
"2021-04-25","Fruehlingsferien","Start"
"2021-05-09","Fruehlingsferien","Stop"
"2021-07-18","Sommerferien","Start"
"2021-08-22","Sommerferien","Stop"
"2021-10-10","Herbstferien","Start"
"2021-10-24","Herbstferien","Stop"
"2021-12-19","Weihnachtsferien","Start"
"2022-01-02","Weihnachtsferien","Stop"
"2022-04-17","Fruehlingsferien","Start"
"2022-05-01","Fruehlingsferien","Stop"
"2022-07-17","Sommerferien","Start"
"2022-08-21","Sommerferien","Stop"
"2022-10-09","Herbstferien","Start"
"2022-10-23","Herbstferien","Stop"
"2022-12-25","Weihnachtsferien","Start"
"2023-01-08","Weihnachtsferien","Stop"
"2023-04-23","Fruehlingsferien","Start"
"2023-05-07","Fruehlingsferien","Stop"
"2023-07-16","Sommerferien","Start"
"2023-08-20","Sommerferien","Stop"
"2023-10-08","Herbstferien","Start"
"2023-10-22","Herbstferien","Stop"
"2023-12-24","Weihnachtsferien","Start"
"2024-01-07","Weihnachtsferien","Stop"
"2024-04-21","Fruehlingsferien","Start"
"2024-05-05","Fruehlingsferien","Stop"
"2024-07-14","Sommerferien","Start"
"2024-08-18","Sommerferien","Stop"
"2024-10-06","Herbstferien","Start"
"2024-10-20","Herbstferien","Stop"
"2024-12-22","Weihnachtsferien","Start"
"2024-12-31","Weihnachtsferien","Stop"
